SH_ID,C_ID,C_NAME,C_EMAIL_ID,C_CONT_NO,C_ADDR,C_TYPE,M_ID,Start_date,End_date,Employee_ID,Employee_Name,Employee_Designation,Employee_Branch,Employee_Address,Employee_Contact,SH_CONTENT,SH_DOMAIN,SER_TYPE,SH_WEIGHT,SH_CHARGES,SR_ADDR,DS_ADDR,Status,Sent_Date,Delivery_Date,delivery_days,is_delivered,is_cancelled,is_ontime,Payment_ID,Payment_Status,Payment_Date,Amount
158,2220,Monte,Zykeria36@google.co.in,6963794710,2400 Block of DIAMOND ST,Wholesale,782,2001-09-27,2014-10-25,853,Zykeria,Warehouse in charge,VA,2700 Block of PACIFIC AV,9334728554,Healthcare,Domestic,Express,479,861,800 Block of BRYANT ST,500 Block of FREDERICK ST,DELIVERED,1976-03-31,1976-06-30,91.0,True,False,False,31469934-66f3-11ea-8572-7077813058ce,PAID,1976-06-30,62528
337,4988,Belle,Selma775@yahoo.co.in,2644171337,FOLSOM ST / CESAR CHAVEZ ST,Wholesale,820,2012-04-29,2024-09-11,902,Selma,Head of marketing,KY,900 Block of SANSOME ST,8568849220,Electronics,Domestic,Express,305,834,1300 Block of CALIFORNIA ST,0 Block of RAUSCH ST,NOT DELIVERED,1976-05-11,,,False,True,False,3147355e-66f3-11ea-aae4-7077813058ce,NOT PAID,,21021
634,175,Rayshawn,Kathryn298@gmail.com,3057896481,100 Block of LELAND AV,Wholesale,316,1982-06-02,1987-12-10,163,Kathryn,Technical support executive,AL,1300 Block of PACIFIC AV,6993831591,Healthcare,International,Express,939,1446,300 Block of CHENERY ST,BUSH ST / BUCHANAN ST,NOT DELIVERED,1980-10-07,,,False,True,False,3147f89c-66f3-11ea-8dfd-7077813058ce,NOT PAID,,99492
577,4233,Abby,Karl167@google.co.in,3335480444,600 Block of CLEMENT ST,Internal Goods,945,1975-08-10,1991-05-22,993,Karl,Branch manager,TX,LA PLAYA ST / BALBOA ST,3028920870,Fashion,Domestic,Regular,679,1455,2600 Block of 18TH ST,800 Block of BRYANT ST,DELIVERED,1987-03-19,1987-08-09,143.0,True,False,False,3148bbc8-66f3-11ea-8acf-7077813058ce,PAID,1987-08-09,60282
907,4351,Alonzo,Freda331@yahoo.co.in,1772719208,400 Block of LEAVENWORTH ST,Internal Goods,174,2014-09-14,2019-10-22,891,Freda,IT support executive,NH,1900 Block of MISSION ST,8786356477,Electronics,International,Express,803,1020,800 Block of 30TH AV,1100 Block of MARKET ST,NOT DELIVERED,2013-07-23,,,False,True,False,31497efa-66f3-11ea-9497-7077813058ce,NOT PAID,,20357
870,5578,Ray,David216@ymail.com,3581081156,4400 Block of ANZA ST,Wholesale,634,2004-05-18,2016-09-11,950,David,Inventory manager,OH,22ND ST / IOWA ST,5614057152,Construction,Domestic,Regular,783,1042,800 Block of GENEVA AV,300 Block of 4TH ST,NOT DELIVERED,2010-03-02,,,False,True,False,314a1b22-66f3-11ea-9e82-7077813058ce,NOT PAID,,24053
982,4523,Tiffany,Winnifred436@gmail.com,9811567113,GEARY ST / TAYLOR ST,Wholesale,456,2015-12-30,2033-12-21,292,Winnifred,In House logistics executive,OH,0 Block of 6TH ST,7483616892,Industrial Equipments,Domestic,Regular,432,915,800 Block of BRYANT ST,100 Block of TOWNSEND ST,NOT DELIVERED,2017-10-17,,,False,True,False,314ade58-66f3-11ea-8979-7077813058ce,NOT PAID,,50958
351,2972,Rosalind,Bryce535@google.co.in,7176117751,1500 Block of NEWCOMB AV,Wholesale,0,2015-12-30,2020-09-14,90,Bryce,Manager,CA,20TH ST / MISSION ST,2812376384,Industrial Equipments,Domestic,Regular,776,1053,15TH ST / SANCHEZ ST,1700 Block of FULTON ST,DELIVERED,1977-01-03,1977-07-06,184.0,True,False,False,314b7a8a-66f3-11ea-97d4-7077813058ce,PAID,1977-07-06,68227
328,6153,Franklin,Maeve922@gmail.com,5362454917,ELLIS ST / JONES ST,Retail,186,1983-10-23,1994-05-17,49,Maeve,Chief finance officer,MA,GENEVA AV / MISSION ST,5956508519,Healthcare,Domestic,Express,710,1066,900 Block of ELLSWORTH ST,400 Block of 28TH ST,DELIVERED,1997-01-20,1997-09-08,231.0,True,False,False,314c8bcc-66f3-11ea-b526-7077813058ce,PAID,1997-09-08,77861
242,4852,Sophie,Seth275@ymail.com,9745073612,24TH ST / MISSION ST,Internal Goods,596,2014-12-30,2031-06-10,100,Seth,Material handling executive,NJ,1600 Block of FILLMORE ST,5847136625,Construction,Domestic,Regular,959,1253,600 Block of FRANCISCO ST,FELL ST / MASONIC AV,NOT DELIVERED,1996-12-09,,,False,True,False,314d761e-66f3-11ea-b155-7077813058ce,NOT PAID,,48315
421,8106,Matthew,Maria344@yahoo.com,4218762280,600 Block of JOHNMUIR DR,Retail,245,1995-01-03,2000-09-14,405,Maria,IT support executive,OK,3400 Block of CESAR CHAVEZ ST,4048218701,Automotive,International,Regular,147,535,800 Block of BRYANT ST,900 Block of RANDOLPH ST,DELIVERED,1999-02-07,1999-03-05,26.0,True,False,False,314eae64-66f3-11ea-b08f-7077813058ce,PAID,1999-03-05,83002
6,3917,Larry,Taron588@yahoo.co.in,2224750233,1700 Block of LYON ST,Internal Goods,17,1979-08-05,1996-08-03,584,Taron,Sales manager,NC,1000 Block of POTRERO AV,1646327916,Arts and crafts,International,Express,613,1256,800 Block of BRYANT ST,0 Block of 6TH ST,DELIVERED,1977-03-08,1977-11-08,245.0,True,False,False,314f4a7a-66f3-11ea-8b83-7077813058ce,PAID,1977-11-08,47650
384,9377,Elena,Bryce621@google.co.in,8017236646,3100 Block of 20TH AV,Internal Goods,48,2003-06-11,2010-03-16,326,Bryce,Block development manager,NY,900 Block of MARKET ST,2898450180,Luggage,Domestic,Regular,590,1033,ELLIS ST / LAGUNA ST,0 Block of HYDE ST,NOT DELIVERED,1972-02-21,,,False,True,False,315034c6-66f3-11ea-a2bf-7077813058ce,NOT PAID,,19386
286,5387,Brady,Ramona218@gmail.com,5712616501,1300 Block of COLUMBUS AV,Retail,457,1974-06-06,1976-10-09,95,Ramona,In House logistics executive,OH,POLK ST / PINE ST,1977102732,Electronics,Domestic,Regular,193,817,100 Block of STEUART ST,900 Block of VALENCIA ST,DELIVERED,2005-06-06,2005-09-15,101.0,True,False,False,31511efa-66f3-11ea-bc4c-7077813058ce,PAID,2005-09-15,39432
892,6513,Sapphire,Adrienne107@gmail.com,7065731530,LARKIN ST / POST ST,Retail,944,1994-09-13,2007-04-20,600,Adrienne,Assistant manager,NM,6TH ST / MARKET ST,1551452510,Luggage,Domestic,Regular,879,1037,700 Block of FOLSOM ST,300 Block of ARBALLO DR,DELIVERED,2019-11-17,2019-12-12,25.0,True,False,False,3151e23a-66f3-11ea-9b38-7077813058ce,PAID,2019-12-12,1421
558,3965,Gene,Dawn743@yahoo.com,3636499761,800 Block of AMAZON AV,Retail,516,2003-07-11,2010-04-01,26,Dawn,Non-executive director,PA,200 Block of DIVISION ST,5544881818,Industrial Equipments,Domestic,Regular,275,951,1600 Block of VANNESS AV,100 Block of PHELAN AV,DELIVERED,2013-10-27,2013-11-15,19.0,True,False,False,3152a56c-66f3-11ea-9340-7077813058ce,PAID,2013-11-15,16113
481,8893,Magdalene,Yessenia134@yahoo.com,6491626668,400 Block of 39TH AV,Retail,847,1992-05-28,2001-01-22,515,Yessenia,Delivery Boy,MO,1600 Block of FOLSOM ST,6808482203,Construction,International,Regular,319,770,800 Block of MARKET ST,0 Block of GORDON ST,NOT DELIVERED,2006-07-11,,,False,True,False,31534188-66f3-11ea-8acd-7077813058ce,NOT PAID,,52318
155,1897,Norma,Ryan368@ymail.com,8023324199,300 Block of CAPISTRANO AV,Wholesale,504,1979-11-16,1988-11-14,876,Ryan,Branch manager,NY,600 Block of INDIANA ST,6818183906,Hazardous Goods,Domestic,Express,52,293,800 Block of BRYANT ST,600 Block of VALENCIA ST,NOT DELIVERED,2003-09-23,,,False,True,False,3153ddb4-66f3-11ea-a4d6-7077813058ce,NOT PAID,,7389
771,390,Destiny,Harriette113@ymail.co.in,6958292565,400 Block of POWELL ST,Retail,115,2010-06-16,2012-10-01,691,Harriette,Non-executive director,RI,1100 Block of GUERRERO ST,1052447026,Electronics,Domestic,Regular,702,1414,SHOTWELL ST / 17TH ST,EDDY ST / HYDE ST,DELIVERED,2013-05-03,2013-11-15,196.0,True,False,False,3154c800-66f3-11ea-8721-7077813058ce,PAID,2013-11-15,86040
945,3633,Glory,Jana467@gmail.com,3794685776,HARRIET ST / HOWARD ST,Internal Goods,740,1971-09-13,1973-06-25,605,Jana,Office manager,OR,500 Block of CARTER ST,1926409080,Healthcare,Domestic,Express,299,524,1500 Block of BAKER ST,LIPPARD AV / BOSWORTH ST,DELIVERED,2001-04-29,2001-08-10,103.0,True,False,False,3155d94c-66f3-11ea-b116-7077813058ce,PAID,2001-08-10,56148
719,7828,Latasha,Frances207@ymail.co.in,1973040699,1500 Block of TURK ST,Internal Goods,884,1995-07-02,2013-09-05,864,Frances,Engineering department manager,HI,0 Block of WHITFIELD CT,7332778584,Arts and crafts,Domestic,Regular,930,1183,100 Block of BERRY ST,KERN ST / DIAMOND ST,DELIVERED,2006-01-22,2006-07-17,176.0,True,False,False,31575fac-66f3-11ea-8d99-7077813058ce,PAID,2006-07-17,894
493,2241,Clay,Tiffani841@google.co.in,4120733093,200 Block of SILVER AV,Internal Goods,446,1998-01-11,2016-07-06,886,Tiffani,Chief finance officer,MO,8TH ST / MARKET ST,1374706667,Home Furnishing,Domestic,Regular,314,566,700 Block of HOWARD ST,HARRISON ST / 3RD ST,NOT DELIVERED,1995-08-20,,,False,True,False,315897f8-66f3-11ea-ad46-7077813058ce,NOT PAID,,35634
998,896,Frances,Cecile32@hotmail.com,5785102250,800 Block of BRYANT ST,Internal Goods,74,1982-09-06,2001-08-11,365,Cecile,Assistant manager,CO,400 Block of ELLIS ST,2176301525,Hazardous Goods,International,Express,109,961,0 Block of LEE AV,0 Block of FALLON PL,DELIVERED,2013-11-21,2013-11-15,-6.0,True,False,True,3159d04c-66f3-11ea-95df-7077813058ce,PAID,2013-11-15,28701
968,6361,Dinah,Bryce393@ymail.com,9235867886,2100 Block of LOMBARD ST,Internal Goods,636,1999-05-09,2005-06-01,946,Bryce,Chief executive officer,NH,TAYLOR ST / EDDY ST,1590827102,Food and Beverages,Domestic,Regular,24,54,STOCKTON ST / BROADWAY ST,900 Block of GEARY ST,DELIVERED,1993-01-04,1993-08-02,210.0,True,False,False,315aba8a-66f3-11ea-9db6-7077813058ce,PAID,1993-08-02,90380
738,6713,Merna,Earle203@google.co.in,7134849334,GOLDEN GATE AV / VANNESS AV,Retail,37,2004-09-17,2024-06-03,152,Earle,Delivery Boy,NY,1200 Block of WAWONA ST,1705805447,Electronics,Domestic,Express,545,1044,LAKE MERCED BL / BROTHERHOOD WAY,HARRISON ST / THE EMBARCADEROSOUTH ST,NOT DELIVERED,1977-09-19,,,False,True,False,315b7db4-66f3-11ea-ae41-7077813058ce,NOT PAID,,21813
912,4283,Louise,Danita716@ymail.com,4751700379,800 Block of BRYANT ST,Wholesale,804,1997-08-24,2010-07-07,789,Danita,Project director,UT,500 Block of BROADWAY ST,7412005788,Fashion,International,Regular,505,1082,GEARY ST / POLK ST,1600 Block of LASALLE AV,NOT DELIVERED,2019-12-30,,,False,True,False,315c67f4-66f3-11ea-bcd7-7077813058ce,NOT PAID,,36312
782,9486,Kaitlyn,Raeleigh114@gmail.com,9430559862,POWELL ST / MARKET ST,Wholesale,694,2003-06-03,2014-05-08,148,Raeleigh,Warehouse manager,OK,400 Block of CASTRO ST,4924177596,Electronics,International,Regular,182,871,1400 Block of DOUGLASS ST,48TH AV / JUDAH ST,DELIVERED,2002-08-31,2002-10-20,50.0,True,False,False,315d041c-66f3-11ea-8af9-7077813058ce,PAID,2002-10-20,24856
140,308,Morgan,Guy394@outlook.com,4160161977,CAPP ST / 17TH ST,Retail,198,1998-05-07,2016-12-29,7,Guy,Transport manager,TN,NATOMA ST / 6TH ST,9744154055,Luggage,International,Regular,226,970,100 Block of FONT BL,1000 Block of KEY AV,DELIVERED,2006-06-10,2006-07-17,37.0,True,False,False,315da042-66f3-11ea-ac04-7077813058ce,PAID,2006-07-17,39234
702,8927,Courtney,Anastasia108@google.co.in,1660494007,0 Block of SADOWA ST,Wholesale,576,1976-01-04,1985-09-15,982,Anastasia,Sales manager,MA,JONES ST / PINE ST,5862720266,Home Furnishing,International,Regular,111,617,HOLLOWAY AV / BRIGHTON AV,TAYLOR ST / GOLDEN GATE AV,DELIVERED,2004-07-07,2004-11-20,136.0,True,False,False,315e3c68-66f3-11ea-8d08-7077813058ce,PAID,2004-11-20,74222
284,249,Rayshawn,Benita963@gmail.com,2979310129,500 Block of GEARY ST,Retail,754,2010-05-14,2027-11-18,249,Benita,Manager,TX,1700 Block of GREENWICH ST,6264685114,Hazardous Goods,International,Express,145,814,1800 Block of KIRKHAM ST,800 Block of BRYANT ST,DELIVERED,1982-02-06,1982-03-08,30.0,True,False,False,315f26ac-66f3-11ea-a883-7077813058ce,PAID,1982-03-08,47260
199,2620,Eddie,Dianne471@ymail.com,1973879566,0 Block of OFARRELL ST,Retail,547,2006-08-19,2022-01-03,273,Dianne,Branch manager,NY,SCOTT ST / SACRAMENTO ST,6650624462,Electronics,Domestic,Regular,829,1145,500 Block of TUNNEL AV,1600 Block of TURK ST,NOT DELIVERED,2007-07-27,,,False,True,False,315fe9e2-66f3-11ea-b80f-7077813058ce,NOT PAID,,45432
228,1164,Maurice,Andrea833@yahoo.co.in,7030699598,2700 Block of FILBERT ST,Internal Goods,656,1983-06-12,2001-11-24,172,Andrea,Material handling executive,TX,1700 Block of BEACH ST,7889923764,Electronics,Domestic,Regular,269,902,800 Block of BRYANT ST,100 Block of SPEAR ST,DELIVERED,1994-03-30,1994-04-09,10.0,True,False,False,3160ad0c-66f3-11ea-961a-7077813058ce,PAID,1994-04-09,30192
908,4711,Taryn,Raul112@outlook.com,2618164744,700 Block of VALLEJO ST,Internal Goods,654,1998-05-12,2007-09-17,234,Raul,Project director,CA,1400 Block of 47TH AV,4666975381,Hazardous Goods,International,Regular,660,1470,200 Block of CHENERY ST,2900 Block of DIAMOND ST,NOT DELIVERED,1999-01-28,,,False,True,False,31619754-66f3-11ea-911d-7077813058ce,NOT PAID,,53868
594,4053,Lazaro,Raven727@yahoo.co.in,6736421797,300 Block of FILLMORE ST,Retail,646,2013-03-15,2024-06-05,844,Raven,Engineering department manager,AL,CASTRO ST / MARKET ST,1860620006,Home Furnishing,Domestic,Regular,484,568,1000 Block of POTRERO AV,400 Block of ROLPH ST,NOT DELIVERED,2004-03-20,,,False,True,False,3162337a-66f3-11ea-bf3c-7077813058ce,NOT PAID,,9691
542,4272,Muriel,Rebecca74@yahoo.co.in,5071378297,0 Block of MYRTLE ST,Retail,250,2014-04-17,2022-06-30,368,Rebecca,Material handling executive,TX,400 Block of SCOTT ST,1015130737,Food and Beverages,International,Regular,100,487,100 Block of HYDE ST,BANCROFT AV / KEITH ST,NOT DELIVERED,1986-05-19,,,False,True,False,3162cf9c-66f3-11ea-917a-7077813058ce,NOT PAID,,39001
586,7005,Dejon,Rosalind124@hotmail.com,3907479910,300 Block of HOLLADAY AV,Retail,81,1971-03-29,1983-03-28,372,Rosalind,Transport manager,MA,MINNA ST / JULIA ST,3355369287,Construction,Domestic,Express,711,1197,1100 Block of HUDSON AV,MYRTLE ST / LARKIN ST,NOT DELIVERED,1977-03-08,,,False,True,False,31636bd2-66f3-11ea-aa21-7077813058ce,NOT PAID,,70814
636,2308,Peter,Anne714@gmail.com,8175968796,DORLAND ST / GUERRERO ST,Internal Goods,898,1979-11-16,1983-06-05,82,Anne,Block development manager,IA,1000 Block of POTRERO AV,7381630742,Home Furnishing,International,Regular,325,994,STOCKTON ST / POST ST,500 Block of MAGELLAN AV,DELIVERED,2008-02-24,2008-08-09,167.0,True,False,False,31642f12-66f3-11ea-b553-7077813058ce,PAID,2008-08-09,13740
581,5150,Todd,Michael518@yahoo.com,2711085992,23RD ST / DOUGLASS ST,Wholesale,461,2017-07-10,2033-11-24,528,Michael,Market analyst,TN,7TH ST / MARKET ST,3343867513,Automotive,Domestic,Regular,209,933,LEAVENWORTH ST / TURK ST,1600 Block of 38TH AV,NOT DELIVERED,2017-11-24,,,False,True,False,3164f24c-66f3-11ea-bf87-7077813058ce,NOT PAID,,33435
336,693,Stacy,Danielle957@yahoo.co.in,3457826852,5000 Block of 3RD ST,Internal Goods,390,2007-09-06,2021-12-25,143,Danielle,IT support executive,CT,100 Block of EUREKA ST,1484052991,Construction,International,Express,996,1168,800 Block of BRYANT ST,3300 Block of MISSION ST,NOT DELIVERED,1972-10-09,,,False,True,False,3165b562-66f3-11ea-83de-7077813058ce,NOT PAID,,73589
504,9598,Frank,Heather632@hotmail.com,2858707837,0 Block of 7TH ST,Internal Goods,988,1984-09-25,1986-07-17,429,Heather,Warehouse manager,RI,2000 Block of UNION ST,5158272401,Luggage,International,Regular,420,561,4200 Block of 26TH ST,0 Block of TURK ST,DELIVERED,1982-07-11,1982-10-15,96.0,True,False,False,316678a4-66f3-11ea-b7d3-7077813058ce,PAID,1982-10-15,18598
346,8103,Catherine,Kaitlyn744@yahoo.com,2065509695,3500 Block of 26TH ST,Retail,597,1979-08-05,1990-11-20,47,Kaitlyn,Chief finance officer,MS,800 Block of MARKET ST,6223189308,Industrial Equipments,International,Express,182,850,BLAKE ST / GEARY BL,BROADWAY ST / COLUMBUS AV,DELIVERED,2007-06-05,2007-07-12,37.0,True,False,False,31673bc8-66f3-11ea-803a-7077813058ce,PAID,2007-07-12,23003
135,8894,Daren,Eileen529@google.co.in,4133664929,0 Block of MAYNARD ST,Wholesale,916,2009-05-31,2021-11-04,790,Eileen,Chief executive officer,MA,SAN JOSE AV / GUERRERO ST,1246424250,Construction,Domestic,Express,901,1393,WASHINGTON ST / DRUMM ST,1200 Block of PINE ST,NOT DELIVERED,2004-09-10,,,False,True,False,3167d7ee-66f3-11ea-a273-7077813058ce,NOT PAID,,80901
822,114,Tiffany,Cheyenne213@outlook.com,5958159146,MISSION ST / 17TH ST,Internal Goods,135,1982-12-13,1996-03-30,427,Cheyenne,Branch manager,CA,100 Block of GIRARD ST,4239981168,Construction,International,Regular,88,426,EXECUTIVEPARK BL / ALANA WY,900 Block of MISSION ST,DELIVERED,1991-06-30,1991-07-15,15.0,True,False,False,3168c236-66f3-11ea-ad73-7077813058ce,PAID,1991-07-15,69113
95,6546,Isidro,Ely630@yahoo.com,1022633285,300 Block of MARKET ST,Wholesale,262,2010-05-01,2020-11-07,906,Ely,Office manager,KS,0 Block of 6TH ST,3882423236,Electronics,Domestic,Regular,660,1208,0 Block of BROOKDALE AV,1300 Block of EGBERT AV,NOT DELIVERED,2013-04-11,,,False,True,False,3169fa82-66f3-11ea-a4aa-7077813058ce,NOT PAID,,26060
597,3571,Claude,Irby513@hotmail.com,4283361474,800 Block of CLEMENT ST,Retail,844,1985-11-24,1987-09-04,750,Irby,Assistant manager,AR,0 Block of CRANE ST,9166200177,Luggage,Domestic,Regular,267,925,3600 Block of 22ND ST,200 Block of NAGLEE AV,NOT DELIVERED,2010-07-26,,,False,True,False,316abe90-66f3-11ea-b19a-7077813058ce,NOT PAID,,25677
340,7316,Gaylon,Genevieve714@hotmail.com,2950413181,4100 Block of GEARY BL,Retail,169,1976-07-30,1995-05-27,913,Genevieve,Fleet manager,OH,LEAVENWORTH ST / GOLDEN GATE AV,5137511014,Fashion,International,Express,905,1392,700 Block of 3RD ST,FRANCISCO ST / JONES ST,NOT DELIVERED,1981-11-03,,,False,True,False,316ba7f6-66f3-11ea-913f-7077813058ce,NOT PAID,,62912
905,2478,Adonis,Elliana123@hotmail.com,3513023435,3300 Block of CESAR CHAVEZ ST,Internal Goods,671,2003-06-03,2009-11-02,31,Elliana,Office manager,LA,COLUMBUS AV / LOMBARD ST,9741124956,Luggage,Domestic,Express,799,1425,1700 Block of 25TH ST,1300 Block of BROADWAY ST,DELIVERED,1983-04-11,1983-09-30,172.0,True,False,False,316c441e-66f3-11ea-89de-7077813058ce,PAID,1983-09-30,77649
250,1215,Stacy,Katrice318@yahoo.co.in,6379672748,MONTGOMERY ST / BROADWAY ST,Internal Goods,353,1988-10-03,2008-03-11,733,Katrice,Sales manager,WV,1600 Block of MARKET ST,1055293942,Construction,International,Express,773,1225,1200 Block of POLK ST,1200 Block of MARKET ST,DELIVERED,2006-09-18,2006-10-22,34.0,True,False,False,316ce042-66f3-11ea-b223-7077813058ce,PAID,2006-10-22,73561
400,5402,Claude,Laverne188@google.co.in,2335838084,17TH ST / SHOTWELL ST,Retail,776,2017-05-03,2021-01-18,624,Laverne,Engineering department manager,CA,1800 Block of WALLER ST,2774587967,Luggage,Domestic,Express,78,403,EARL ST / LASALLE AV,1400 Block of KIRKWOOD CT,NOT DELIVERED,2003-01-07,,,False,True,False,316d7c6e-66f3-11ea-aad7-7077813058ce,NOT PAID,,50357
877,1647,Bambi,Chasity357@yahoo.co.in,2179414351,1900 Block of UNION ST,Internal Goods,205,1992-11-10,2001-07-30,199,Chasity,Delivery Boy,WA,600 Block of MANGELS AV,6383939014,Industrial Equipments,Domestic,Express,791,1169,CLARA ST / 4TH ST,100 Block of ATOLL CR,DELIVERED,2000-01-25,2000-03-22,57.0,True,False,False,316e8db8-66f3-11ea-88c1-7077813058ce,PAID,2000-03-22,61325
97,9423,Isabela,Kyle670@gmail.com,9984833487,600 Block of HEAD ST,Retail,705,2005-12-06,2021-05-07,112,Kyle,Non-executive director,CT,0 Block of POWELL ST,8157564947,Construction,Domestic,Express,603,1167,0 Block of STEINER ST,1100 Block of FRANCISCO ST,NOT DELIVERED,2011-05-25,,,False,True,False,316f77f6-66f3-11ea-8aa2-7077813058ce,NOT PAID,,76658
12,6404,Philip,Gene977@ymail.co.in,4771182901,0 Block of 7TH ST,Internal Goods,10,1995-01-03,2000-10-03,256,Gene,Assistant manager,ME,1900 Block of LOMBARD ST,2513725051,Construction,Domestic,Regular,360,565,1800 Block of 8TH AV,JONES ST / GOLDEN GATE AV,NOT DELIVERED,2000-06-18,,,False,True,False,3170141c-66f3-11ea-97a3-7077813058ce,NOT PAID,,35525
353,6767,Joe,Marlene682@outlook.com,6825096485,4100 Block of 18TH ST,Wholesale,195,2011-12-05,2012-07-27,848,Marlene,Delivery Boy,CO,500 Block of NOE ST,6829482368,Fashion,Domestic,Express,84,354,HARRISON ST / 11TH ST,BROADWAY ST / KEARNY ST,DELIVERED,2012-08-02,2012-10-04,63.0,True,False,False,3170d834-66f3-11ea-b48e-7077813058ce,PAID,2012-10-04,12462
